product,Winter,Spring,Summer,Autumn,annual_avg_%
Skinless & Boneless Sardines in Virgin Olive Oil,19.24,19.31,16.31,19.17,18.35
Octopus in Extra Virgin Olive Oil,9.14,9.29,7.76,8.92,8.7
Cod in Olive Oil,8.7,6.24,4.56,7.53,6.52
Shrimp Scampi (Prawns),4.88,3.87,4.36,4.44,4.35
Sea Bass in Extra Virgin Olive Oil,3.62,3.76,3.08,3.61,3.49
Spicy Smoked Sardines,3.09,3.12,3.27,3.12,3.16
Sardines with Peppers,3.03,3.18,3.16,2.99,3.1
Sardines w/ Stuffed Olives | Lisboa,2.15,3.03,3.6,2.82,2.99
Smoked Salmon in Olive Oil,2.83,2.95,2.44,2.84,2.75
Sardines in Tomato Sauce,2.32,2.41,2.05,2.38,2.28
Tuna in Olive Oil,2.27,2.32,1.93,2.29,2.18
Sardines with Lemon,2.25,2.26,1.92,2.29,2.16
Sardines with Mustard,2.09,2.13,1.76,2.0,1.98
Anchovies,2.71,1.55,1.05,1.56,1.61
Smoked Mussels in Olive Oil,1.56,1.52,1.32,1.5,1.46
