year,month,week_of_month,product_id,product,category,units,revenue
2021,1,1,1003,Timeless Sardines 1919,Timeless Sardines,1,9.0
2021,1,1,1004,Timeless Sardines 1920,Timeless Sardines,2,18.0
2021,1,1,1009,Timeless Sardines 1925,Timeless Sardines,1,9.0
2021,1,1,1015,Timeless Sardines 1931,Timeless Sardines,1,9.0
2021,1,1,1019,Timeless Sardines 1935,Timeless Sardines,1,9.0
2021,1,1,1022,Timeless Sardines 1938,Timeless Sardines,1,9.0
2021,1,1,1023,Timeless Sardines 1939,Timeless Sardines,2,18.0
2021,1,1,1025,Timeless Sardines 1941,Timeless Sardines,1,9.0
2021,1,1,1026,Timeless Sardines 1942,Timeless Sardines,1,9.0
2021,1,1,1027,Timeless Sardines 1943,Timeless Sardines,2,18.0
2021,1,1,1031,Timeless Sardines 1947,Timeless Sardines,2,18.0
2021,1,1,1033,Timeless Sardines 1949,Timeless Sardines,1,9.0
2021,1,1,1034,Timeless Sardines 1950,Timeless Sardines,2,18.0
2021,1,1,1035,Timeless Sardines 1951,Timeless Sardines,3,27.0
2021,1,1,1036,Timeless Sardines 1952,Timeless Sardines,6,54.0
2021,1,1,1037,Timeless Sardines 1953,Timeless Sardines,1,9.0
2021,1,1,1038,Timeless Sardines 1954,Timeless Sardines,5,45.0
2021,1,1,1039,Timeless Sardines 1955,Timeless Sardines,1,9.0
2021,1,1,1040,Timeless Sardines 1956,Timeless Sardines,2,18.0
2021,1,1,1041,Timeless Sardines 1957,Timeless Sardines,2,18.0
2021,1,1,1042,Timeless Sardines 1958,Timeless Sardines,2,18.0
2021,1,1,1043,Timeless Sardines 1959,Timeless Sardines,1,9.0
2021,1,1,1044,Timeless Sardines 1960,Timeless Sardines,3,27.0
2021,1,1,1045,Timeless Sardines 1961,Timeless Sardines,1,9.0
2021,1,1,1046,Timeless Sardines 1962,Timeless Sardines,2,18.0
2021,1,1,1047,Timeless Sardines 1963,Timeless Sardines,5,45.0
2021,1,1,1050,Timeless Sardines 1966,Timeless Sardines,1,9.0
2021,1,1,1051,Timeless Sardines 1967,Timeless Sardines,1,9.0
2021,1,1,1052,Timeless Sardines 1968,Timeless Sardines,3,27.0
2021,1,1,1053,Timeless Sardines 1969,Timeless Sardines,2,18.0
2021,1,1,1054,Timeless Sardines 1970,Timeless Sardines,2,18.0
2021,1,1,1056,Timeless Sardines 1972,Timeless Sardines,2,18.0
2021,1,1,1057,Timeless Sardines 1973,Timeless Sardines,1,9.0
2021,1,1,1058,Timeless Sardines 1974,Timeless Sardines,1,9.0
2021,1,1,1059,Timeless Sardines 1975,Timeless Sardines,2,18.0
2021,1,1,1060,Timeless Sardines 1976,Timeless Sardines,1,9.0
2021,1,1,1061,Timeless Sardines 1977,Timeless Sardines,2,18.0
2021,1,1,1062,Timeless Sardines 1978,Timeless Sardines,2,18.0
2021,1,1,1063,Timeless Sardines 1979,Timeless Sardines,5,45.0
2021,1,1,1065,Timeless Sardines 1981,Timeless Sardines,2,18.0
